x,y,t,v
0,0,0,0.05
-0.266803,0,0.514127,0.518944
-0.493423,0,0.835931,0.704218
-0.686067,0,1.07673,0.8
-0.850939,0,1.28282,0.8
-0.994245,0,1.46196,0.8
-1.12219,0,1.62189,0.8
-1.24061,0,1.76991,0.8
-1.35224,0,1.90945,0.8
-1.45833,0,2.04207,0.8
-1.56014,0,2.16932,0.8
-1.65889,0,2.29276,0.8
-1.75583,0,2.41394,0.8
-1.85217,0,2.53437,0.8
-1.94849,0,2.65477,0.8
-2.04482,0,2.77517,0.8
-2.14114,0,2.89557,0.8
-2.23746,0,3.01597,0.8
-2.33378,0,3.13638,0.8
-2.43008,3.70358e-06,3.25675,0.8
-2.52493,0.000274391,3.37532,0.8
-2.61459,0.00150078,3.4874,0.8
-2.6951,0.00441102,3.58811,0.8
-2.76252,0.00973327,3.67263,0.8
-2.81287,0.0181957,3.73646,0.8
-2.84221,0.0305263,3.77625,0.8
-2.84826,0.047145,3.79835,0.8
-2.83396,0.0675107,3.82946,0.8
-2.80326,0.0908952,3.8777,0.8
-2.76012,0.11657,3.94046,0.8
-2.70849,0.143808,4.01342,0.8
-2.65233,0.17188,4.0919,0.8
-2.59518,0.200134,4.17159,0.8
-2.53803,0.228388,4.25128,0.8
-2.48088,0.256642,4.33098,0.8
-2.42373,0.284896,4.41067,0.8
-2.36658,0.313151,4.49036,0.8
-2.30943,0.341405,4.57005,0.8
-2.25228,0.369659,4.64974,0.8
-2.19513,0.397913,4.72943,0.8
-2.13798,0.426167,4.80913,0.8
-2.08083,0.454421,4.88882,0.8
-2.02368,0.482676,4.96851,0.8
-1.96653,0.51093,5.0482,0.8
-1.90938,0.539184,5.12789,0.8
-1.85223,0.567438,5.20758,0.8
-1.79508,0.595692,5.28728,0.8
-1.73793,0.623946,5.36697,0.8
-1.68078,0.652201,5.44666,0.8
-1.62363,0.680455,5.52635,0.8
-1.56648,0.70871,5.60604,0.8
-1.50965,0.737202,5.6855,0.8
-1.45426,0.766746,5.76397,0.8
-1.40155,0.798245,5.84073,0.8
-1.35274,0.8326,5.91534,0.8
-1.30906,0.870712,5.9878,0.8
-1.27176,0.913485,6.05874,0.8
-1.24172,0.961571,6.12962,0.8
-1.2182,1.01443,6.20193,0.8
-1.19998,1.07116,6.27641,0.8
-1.18581,1.13086,6.35311,0.8
-1.17447,1.19262,6.43161,0.8
-1.16472,1.25556,6.51121,0.8
-1.1554,1.3188,6.59112,0.8
-1.14609,1.38205,6.67104,0.8
-1.13678,1.4453,6.75095,0.8
-1.12747,1.50856,6.83087,0.8
-1.11816,1.57181,6.91078,0.8
-1.10885,1.63506,6.9907,0.8
-1.09954,1.69831,7.07062,0.8
-1.09023,1.76156,7.15053,0.8
-1.08092,1.82481,7.23045,0.8
-1.07161,1.88806,7.31036,0.8
-1.06229,1.95131,7.39028,0.8
-1.05298,2.01456,7.47019,0.8
-1.04367,2.07781,7.55011,0.8
-1.03436,2.14106,7.63002,0.8
-1.02505,2.20431,7.70994,0.8
-1.01574,2.26757,7.78986,0.8
-1.00643,2.33082,7.86977,0.8
-0.997117,2.39407,7.94969,0.8
-0.987806,2.45732,8.0296,0.8
-0.978332,2.52007,8.10893,0.8
-0.967921,2.57996,8.18492,0.8
-0.955653,2.63418,8.25441,0.8
-0.940611,2.67993,8.31461,0.8
-0.921876,2.7144,8.36365,0.8
-0.898529,2.73479,8.40239,0.8
-0.869805,2.73875,8.43863,0.8
-0.836089,2.72746,8.48308,0.8
-0.798297,2.70373,8.53886,0.8
-0.757348,2.67036,8.60489,0.8
-0.714161,2.63015,8.67865,0.8
-0.669653,2.58591,8.75709,0.8
-0.624716,2.54035,8.83708,0.8
-0.579766,2.49476,8.91711,0.8
-0.534816,2.44917,8.99714,0.8
-0.489866,2.40358,9.07717,0.8
-0.444916,2.35799,9.1572,0.8
-0.399967,2.31239,9.23723,0.8
-0.355017,2.2668,9.31726,0.8
-0.310067,2.22121,9.39729,0.8
-0.265117,2.17562,9.47732,0.8
-0.220167,2.13003,9.55735,0.8
-0.175217,2.08443,9.63738,0.8
-0.130268,2.03884,9.71741,0.8
-0.0853177,1.99325,9.79744,0.8
-0.0403679,1.94766,9.87747,0.8
0.00458194,1.90207,9.95751,0.8
