x,y,t
0,0,0
0.0019229,0.00400605,0.708397
0.0153832,0.0320484,1.41679
0.0519184,0.108163,2.12519
0.123066,0.256387,2.83359
0.240363,0.500756,3.54198
0.292143,0.608631,4.25038
0.384106,0.800221,4.95878
0.47607,0.991812,5.66717
0.568033,1.1834,6.37557
0.659997,1.37499,7.08397
0.75196,1.56658,7.79236
0.843924,1.75818,8.50076
0.935888,1.94977,9.20915
1.02785,2.14136,9.91755
1.11981,2.33295,10.6259
1.22434,2.48783,11.3343
1.41443,2.39279,12.0427
1.60451,2.29774,12.7511
1.79459,2.2027,13.4595
1.98468,2.10766,14.1679
2.17476,2.01262,14.8763
2.36484,1.91758,15.5847
2.55492,1.82254,16.2931
2.74501,1.7275,17.0015
2.83544,1.55318,17.7099
2.8853,1.3466,18.4183
2.93517,1.14001,19.1267
2.98504,0.933424,19.8351
3.0349,0.726838,20.5435
3.08477,0.520252,21.2519
3.13463,0.313666,21.9603
3.1845,0.107081,22.6687
3.23436,-0.0995053,23.3771
3.28423,-0.306091,24.0855
3.33409,-0.512677,24.7939
3.38396,-0.719263,25.5023
3.43383,-0.925849,26.2107
3.48369,-1.13243,26.9191
3.54109,-1.06302,27.6275
3.60216,-0.859462,28.3359
3.66323,-0.655906,29.0443
3.7243,-0.452349,29.7527
3.78536,-0.248793,30.4611
3.84643,-0.0452368,31.1694
3.9075,0.158319,31.8778
3.96856,0.361876,32.5862
4.02963,0.565432,33.2946
4.0907,0.768988,34.003
4.19741,0.951531,34.7114
4.31233,1.1303,35.4198
4.42726,1.30906,36.1282
4.54218,1.48783,36.8366
4.6571,1.6666,37.545
4.77202,1.84536,38.2534
4.88694,2.02413,38.9618
5.00098,2.1967,39.6702
5.06135,1.99294,40.3786
5.12173,1.78917,41.087
5.1821,1.58541,41.7954
5.24247,1.38165,42.5038
5.30285,1.17789,43.2122
5.36322,0.974123,43.9206
5.4236,0.77036,44.629
5.48397,0.566597,45.3374
5.54435,0.362834,46.0458
5.60472,0.159071,46.7542
5.66509,-0.0446914,47.4626
5.72547,-0.248454,48.171
5.78584,-0.452217,48.8794
5.83946,-0.342175,49.5878
5.891,-0.136001,50.2962
5.94254,0.0701726,51.0046
5.99409,0.276346,51.7129
6.04563,0.48252,52.4213
6.09717,0.688694,53.1297
6.14872,0.894867,53.8381
6.20026,1.10104,54.5465
6.2518,1.30721,55.2549
6.30335,1.51339,55.9633
6.35489,1.71956,56.6717
6.41186,1.87627,57.3801
6.5069,1.68619,58.0885
6.60195,1.49611,58.7969
6.69699,1.30602,59.5053
6.79203,1.11594,60.2137
6.88707,0.925859,60.9221
6.98211,0.735776,61.6305
7.07715,0.545694,62.3389
7.17219,0.355611,63.0473
7.31315,0.399002,63.7557
7.47308,0.538947,64.4641
7.63302,0.678892,65.1725
7.79296,0.818836,65.8809
7.61834,0.666046,66.5893
7.57428,0.627495,67.2977
7.61048,0.659172,68.0061
7.70688,0.74352,68.7145
7.84341,0.862981,69.4229
8,1,70.1313
